session_duration_min,break_frequency,focus_score,time_of_day,time_since_last_break,profile_ground_truth,cluster,fatigue_risk
43.3,2,74.9,10,4.0,optimal,1,Low Risk
52.6,1,85.8,15,33.3,optimal,1,Low Risk
53.0,1,72.8,19,24.5,optimal,1,Low Risk
69.1,2,81.2,19,20.6,optimal,1,Low Risk
123.7,0,19.7,0,87.0,fatigued,0,High Risk
76.8,2,81.1,19,4.9,optimal,1,Low Risk
144.7,0,43.2,21,85.5,fatigued,2,Medium Risk
39.1,1,91.0,17,35.8,optimal,1,Low Risk
89.7,0,44.6,21,92.4,fatigued,2,Medium Risk
122.6,0,29.5,0,64.5,fatigued,0,High Risk
23.2,3,66.4,17,0.1,distracted,1,Low Risk
20.9,3,61.7,19,1.2,distracted,1,Low Risk
14.9,4,71.8,16,3.1,distracted,1,Low Risk
93.1,0,50.0,0,118.3,fatigued,0,High Risk
20.7,3,53.9,16,0.4,distracted,1,Low Risk
130.0,1,38.9,20,78.9,fatigued,2,Medium Risk
113.4,1,56.2,0,92.4,fatigued,0,High Risk
38.2,1,68.9,14,8.7,distracted,1,Low Risk
43.7,3,57.4,21,3.6,distracted,1,Low Risk
133.8,0,34.9,22,85.0,fatigued,2,Medium Risk
54.9,1,94.4,18,12.9,optimal,1,Low Risk
62.6,2,76.6,8,5.9,optimal,1,Low Risk
25.6,2,63.4,10,6.3,distracted,1,Low Risk
179.2,3,52.3,2,105.7,fatigued,0,High Risk
48.0,3,91.1,11,39.3,optimal,1,Low Risk
26.1,3,48.0,12,5.9,distracted,1,Low Risk
120.3,0,44.3,22,80.9,fatigued,2,Medium Risk
10.0,4,68.7,11,9.2,distracted,1,Low Risk
38.1,1,42.9,19,9.8,distracted,1,Low Risk
31.2,3,65.0,20,1.9,distracted,1,Low Risk
72.2,3,88.1,11,35.5,optimal,1,Low Risk
78.3,3,81.4,9,6.4,optimal,1,Low Risk
151.5,2,40.0,20,70.6,fatigued,2,Medium Risk
54.3,3,81.3,10,26.3,optimal,1,Low Risk
112.6,0,43.2,2,75.0,fatigued,0,High Risk
121.8,0,48.7,0,90.2,fatigued,0,High Risk
77.8,0,54.8,0,90.0,fatigued,0,High Risk
66.0,2,86.0,12,35.3,optimal,1,Low Risk
28.7,3,50.5,14,5.7,distracted,1,Low Risk
51.0,0,83.7,17,37.4,optimal,1,Low Risk
93.5,1,26.9,3,100.3,fatigued,0,High Risk
48.7,2,82.8,16,28.1,optimal,1,Low Risk
73.6,2,81.3,10,10.2,optimal,1,Low Risk
62.9,1,87.5,15,28.1,optimal,1,Low Risk
26.8,3,78.9,21,5.8,distracted,1,Low Risk
49.9,2,85.7,8,1.5,optimal,1,Low Risk
21.1,2,72.1,10,8.3,distracted,1,Low Risk
57.7,3,81.3,15,29.0,optimal,1,Low Risk
10.0,3,75.9,10,4.0,distracted,1,Low Risk
53.5,3,81.6,8,6.9,optimal,1,Low Risk
64.8,0,86.9,16,26.4,optimal,1,Low Risk
169.5,0,35.2,3,69.5,fatigued,0,High Risk
49.8,1,82.3,8,12.5,optimal,1,Low Risk
152.9,0,41.4,1,98.1,fatigued,0,High Risk
81.6,1,94.7,17,20.0,optimal,1,Low Risk
132.4,1,49.3,23,94.5,fatigued,2,Medium Risk
50.8,4,90.7,10,32.8,optimal,1,Low Risk
133.4,0,31.3,23,66.0,fatigued,2,Medium Risk
64.2,1,92.8,8,26.2,optimal,1,Low Risk
45.3,1,76.4,17,27.9,optimal,1,Low Risk
130.9,1,17.8,0,118.1,fatigued,0,High Risk
161.7,2,45.3,23,82.3,fatigued,2,Medium Risk
35.5,2,71.4,14,2.4,distracted,1,Low Risk
72.9,3,73.7,11,33.1,optimal,1,Low Risk
56.4,3,82.9,19,38.3,optimal,1,Low Risk
39.8,2,80.2,19,6.3,distracted,1,Low Risk
89.8,0,58.1,22,72.8,fatigued,2,Medium Risk
34.0,3,65.0,10,1.0,distracted,1,Low Risk
53.5,2,85.2,9,35.7,optimal,1,Low Risk
42.4,2,86.2,13,32.5,optimal,1,Low Risk
22.8,2,68.6,21,5.6,distracted,1,Low Risk
57.6,2,85.0,19,22.9,optimal,1,Low Risk
36.5,3,64.9,16,7.5,distracted,1,Low Risk
61.3,3,83.0,13,17.5,optimal,1,Low Risk
30.5,3,68.4,14,0.4,distracted,1,Low Risk
44.0,1,82.2,8,25.1,optimal,1,Low Risk
116.7,1,44.6,23,80.1,fatigued,2,Medium Risk
44.4,1,80.6,12,39.0,optimal,1,Low Risk
33.4,4,44.9,10,4.1,distracted,1,Low Risk
70.2,4,76.3,16,16.7,optimal,1,Low Risk
29.3,2,53.8,10,4.8,distracted,1,Low Risk
